case_id,date,court_level,language,client_type,user_query,severity_score,primary_category
PK-KHI-2025-0680,2026-03-22,Supreme Court,Urdu,Individual,I want to know the legal share of daughters in the inheritance of their late father's property under Islamic law.,6.87,Family
PK-MUX-2026-0568,2024-02-16,High Court,Urdu,Individual,What are the legal rights of a woman regarding dower (Mehr) and dowry articles (Saman-e-Harb) after divorce?,3.76,Family
PK-FSD-2023-0670,2025-12-29,District Court,English,Individual,We were assaulted and harassed by some local goons. The police are refusing to register our complaint. Can we file a petition under 22-A/22-B?,10.0,Criminal
PK-RWP-2022-1161,2025-07-21,District Court,English,Individual,How do I verify the registry and fard of a commercial property before purchasing it to avoid scams?,9.75,Property
PK-KHI-2022-0878,2024-11-13,District Court,English,Individual,I need advice on child custody and guardianship laws in Pakistan. The father is refusing to pay monthly maintenance.,5.98,Family
PK-RWP-2025-0154,2025-10-26,High Court,English,Individual,My husband has married a second time without my permission or consent from the Arbitration Council. Is this illegal?,6.35,Family
PK-FSD-2026-1006,2023-09-23,High Court,Urdu,NGO,My sister wants to file for Khula (divorce) from her husband due to cruelty and non-maintenance. What is the procedur in family cort?,7.07,Family
PK-KHI-2026-0677,2022-06-07,High Court,English,Individual,What are the legal rights of a woman regarding dower (Mehr) and dowry articles (Saman-e-Harb) after divorce?,,Family
PK-RWP-2024-0529,2024-03-25,District Court,English,Individual,I want to know the legal share of daughters in the inheritance of their late father's property under Islamic law.,4.91,Family
PK-KHI-2026-0517,2023-08-09,District Court,Urdu,Individual,I need advice on child custody and guardianship laws in Pakistan. The father is refusing to pay monthly maintenance.,4.83,Family
PK-KHI-2026-0186,2023-08-25,District Court,English,Individual,How do I verify the registry and fard of a commercial property before purchasing it to avoid scams?,7.57,Property
PK-RWP-2025-0178,2023-01-19,District Court,English,Government,My sister wants to file for Khula (divorce) from her husband due to cruelty and non-maintenance. What is the procedure in family court?,5.68,Family
PK-KHI-2023-0821,2023-01-26,High Court,Urdu,,I want to know the legal share of daughters in the inheritance of their late father's property under Islamic law.,7.69,Family
PK-RWP-2023-1079,2023-05-26,District Court,English,Individual,My relative has been arrested by police under Section 302 of PPC. How can we apply for post-arrest bail in the High Court?,9.52,Criminal
PK-LHR-2023-1084,2022-03-25,District Court,Urdu,Individual,We were assaulted and harassed by some local goons. The police are refusing to register our complaint. Can we file a petition under 22-A/22-B?,8.96,Criminal
PK-FSD-2022-0167,2024-04-21,District Court,Urdu,NGO,A false fraud case has been registered against me regarding a bounced cheque. How do I get pre-arrest bail?,10.0,Criminal
PK-ISB-2024-1182,2025-07-19,High Court,English,Corporate,A false fraud case has been registered against me regarding a bounced cheque. How do I get pre-arrest bail?,9.6,Criminal
PK-FSD-2024-0042,2023-09-18,High Court,Urdu,Individual,My relative has been arrested by police under Section 302 of PPC. How can we apply for post-arrest bail in the High Court?,8.36,Criminal
PK-LHR-2024-0171,2022-06-21,High Court,English,Corporate,I need advice on child custody and guardianship laws in Pakistan. The father is refusing to pay monthly maintenance.,5.02,Family
PK-FSD-2026-0045,2024-11-13,District Court,Urdu,Individual,We bought a plot of land in a housing society but the developer is not giving possession or registration (registry/intiqal). What should we do?,6.14,Property
PK-RWP-2024-1108,2025-07-09,District Court,English,Individual,A false fraud case has been registered against me regarding a bounced cheque. How do I get pre-arrest bail?,,Criminal
PK-RWP-2025-0987,2024-02-23,District Court,Urdu,Individual,I need to file an FIR at the police station regarding a theft/robbery that occurred at my house last night in Lahore.,9.55,Criminal
PK-MUX-2025-0614,2026-01-14,District Court,Urdu,Individual,A false fraud case has been registered against me regarding a bounced cheque. How do I get pre-arrest bail?,10.0,Criminal
PK-LHR-2026-0240,2024-07-03,District Court,English,Corporate,My sister wants to file for Khula (divorce) from her husband due to cruelty and non-maintenance. What is the procedur in family cort?,,Family
PK-ISB-2026-0163,2024-02-11,District Court,English,Individual,"I want to sublet a portion of my rented shop, but the landlord is objecting despite our oral agreement. What does the law say?",,Tenant
PK-KHI-2024-1151,2024-05-08,District Court,English,Individual,Someone stole my motorcycle from the parking area. What is the procedure to report this theft and get a police report for insurance?,5.92,Criminal
PK-LHR-2026-0644,2025-10-17,Supreme Court,English,Individual,Someone stole my motorcycle from the parking area. What is the procedure to report this theft and get a police report for insurance?,8.21,Criminal
PK-ISB-2025-0282,2022-01-26,District Court,English,Individual,My husband has married a second time without my permission or consent from the Arbitration Council. Is this illegal?,7.9,Family
PK-LHR-2024-0657,2023-03-03,High Court,English,Individual,I want to know the legal share of daughters in the inheritance of their late father's property under Islamic law.,5.97,Family
PK-RWP-2026-0582,2022-11-13,District Court,English,Individual,What are the legal rights of a woman regarding dower (Mehr) and dowry articles (Saman-e-Harb) after divorce?,6.76,Family
PK-FSD-2022-0209,2022-07-04,High Court,English,NGO,Our employer is paying us less than the government-mandated minimum wage in Punjab. Can we report this to the labor inspector?,10.0,Labor
PK-MUX-2024-0035,2023-02-21,District Court,Urdu,Individual,How do I verify the registry and fard of a commercial property before purchasing it to avoid scams?,5.53,Property
PK-FSD-2022-0580,2026-01-27,District Court,English,Individual,I need advice on child custody and guardianship laws in Pakistan. The father is refusing to pay monthly maintenance.,6.41,Family
PK-KHI-2023-0605,2025-04-04,District Court,Urdu,Corporate,What are the legal rights of a woman regarding dower (Mehr) and dowry articles (Saman-e-Harb) after divorce?,8.25,Family
PK-FSD-2024-0387,2023-01-18,District Court,English,Individual,I need advice on child custody and guardianship laws in Pakistan. The father is refusing to pay monthly maintenance.,8.25,Family
PK-RWP-2024-0309,2022-12-11,High Court,English,Individual,Someone stole my motorcycle from the parking area. What is the procedure to report this theft and get a police report for insurance?,8.26,Criminal
PK-RWP-2022-0266,2022-06-02,High Court,Urdu,Individual,"The rented house needs urgent structural repairs, but the landlord refuses to pay for maintenance. Can I deduct it from the rent?",6.96,Tenant
PK-LHR-2026-0203,2023-06-27,District Court,Urdu,Individual,I need to file an FIR at the police station regarding a theft/robbery that occurred at my house last night in Lahore.,9.76,Criminal
PK-KHI-2024-0945,2023-05-22,District Court,Urdu,Corporate,A false fraud case has been registered against me regarding a bounced cheque. How do I get pre-arrest bail?,7.22,Criminal
PK-KHI-2025-0902,2024-11-07,High Court,English,Individual,My sister wants to file for Khula (divorce) from her husband due to cruelty and non-maintenance. What is the procedure in family court?,6.03,Family
PK-KHI-2022-0418,2024-09-25,District Court,Urdu,Individual,I was terminated from my factory job without any notice or payment of dues. Where can I file a complaint for reinstatement and gratuity?,6.92,Labor
PK-KHI-2024-0654,2023-10-28,District Court,English,Individual,What are the legal rights of a woman regarding dower (Mehr) and dowry articles (Saman-e-Harb) after divorce?,9.09,Family
PK-MUX-2026-0689,2023-01-14,High Court,Urdu,,There is a dispute over the boundaries of our house with our neighbor. How can we request a legal land demarcation?,7.53,Property
PK-MUX-2026-0631,2022-06-29,District Court,Urdu,NGO,How do I verify the registry and fard of a commercial property before purchasing it to avoid scams?,8.84,Property
PK-RWP-2022-0804,2024-12-04,District Court,English,Individual,My husband has married a second time without my permission or consent from the Arbitration Council. Is this illegal?,5.48,Family
PK-RWP-2023-0097,2023-08-13,District Court,Urdu,Individual,A false fraud case has been registered against me regarding a bounced cheque. How do I get pre-arrest bail?,8.81,Criminal
PK-RWP-2023-0289,2025-10-28,High Court,English,Individual,My relative has been arrested by police under Section 302 of PPC. How can we apply for post-arrest bail in the High Court?,7.75,Criminal
PK-RWP-2025-0685,2024-08-02,High Court,Urdu,Individual,A false fraud case has been registered against me regarding a bounced cheque. How do I get pre-arrest bail?,9.36,Criminal
PK-MUX-2022-0249,2022-03-07,High Court,English,Individual,I need to file an FIR at the police station regarding a theft/robbery that occurred at my house last night in Lahore.,8.99,Criminal
PK-FSD-2023-0260,2025-02-04,District Court,English,Individual,How do I verify the registry and fard of a commercial property before purchasing it to avoid scams?,5.89,Property
PK-LHR-2023-0787,2024-01-21,District Court,Urdu,Individual,We were assaulted and harassed by some local goons. The police are refusing to register our complaint. Can we file a petition under 22-A/22-B?,9.05,Criminal
PK-ISB-2026-1097,2024-01-26,District Court,Urdu,Corporate,We were assaulted and harassed by some local goons. The police are refusing to register our complaint. Can we file a petition under 22-A/22-B?,6.1,Criminal
PK-ISB-2023-0150,2025-06-19,District Court,Urdu,Individual,I want to know the legal share of daughters in the inheritance of their late father's property under Islamic law.,6.3,Family
PK-MUX-2026-0394,2025-04-18,District Court,English,Individual,Our employer is paying us less than the government-mandated minimum wage in Punjab. Can we report this to the labor inspector?,6.92,Labor
PK-LHR-2024-0226,2024-06-24,District Court,Urdu,Individual,"I want to sublet a portion of my rented shop, but the landlord is objecting despite our oral agreement. What does the law say?",5.08,Tenant
PK-LHR-2025-0228,2023-11-08,High Court,English,Individual,I need to file an FIR at the police station regarding a theft/robbery that occurred at my house last night in Lahore.,7.64,Criminal
PK-ISB-2023-0129,2022-09-24,District Court,Urdu,Individual,My sister wants to file for Khula (divorce) from her husband due to cruelty and non-maintenance. What is the procedur in family cort?,5.4,Family
PK-KHI-2024-0811,2023-03-07,High Court,English,Individual,"Our tenancy agreement has expired, and the landlord is refusing to return our security deposit of two months.",4.47,Tenant
PK-FSD-2026-0303,2024-03-14,District Court,English,Corporate,A false fraud case has been registered against me regarding a bounced cheque. How do I get pre-arrest bail?,9.23,Criminal
PK-KHI-2022-0375,2025-12-08,High Court,English,Government,A false fraud case has been registered against me regarding a bounced cheque. How do I get pre-arrest bail?,7.58,Criminal
PK-MUX-2025-0706,2023-10-27,District Court,Urdu,Individual,I suffered an injury on the job due to lack of safety equipment. Am I entitled to compensation under the Workmen's Compensation Act?,3.96,Labor
PK-LHR-2024-0984,2025-08-24,District Court,English,Corporate,I want to know the legal share of daughters in the inheritance of their late father's property under Islamic law.,6.0,Family
PK-FSD-2024-0136,2024-07-17,District Court,Urdu,Individual,I suffered an injury on the job due to lack of safety equipment. Am I entitled to compensation under the Workmen's Compensation Act?,4.56,Labor
PK-MUX-2024-1150,2023-01-12,High Court,English,Corporate,What are the legal rights of a woman regarding dower (Mehr) and dowry articles (Saman-e-Harb) after divorce?,4.81,Family
PK-KHI-2024-0587,2024-10-25,District Court,English,Individual,I want to know the legal share of daughters in the inheritance of their late father's property under Islamic law.,4.98,Family
PK-RWP-2023-0376,2025-08-02,District Court,Urdu,Individual,We bought a plot of land in a housing society but the developer is not giving possession or registration (registry/intiqal). What should we do?,8.05,Property
PK-KHI-2023-0086,2023-06-26,District Court,English,Individual,I need to file an FIR at the police station regarding a theft/robbery that occurred at my house last night in Lahore.,9.6,Criminal
PK-KHI-2025-0915,2022-01-20,District Court,English,Individual,What are the legal rights of a woman regarding dower (Mehr) and dowry articles (Saman-e-Harb) after divorce?,6.33,Family
PK-MUX-2022-0953,2023-07-21,High Court,English,Individual,My sister wants to file for Khula (divorce) from her husband due to cruelty and non-maintenance. What is the procedure in family court?,7.73,Family
PK-RWP-2024-0279,2023-05-20,High Court,English,Individual,My relative has been arrested by police under Section 302 of PPC. How can we apply for post-arrest bail in the High Court?,8.04,Criminal
PK-FSD-2022-1031,2023-11-14,District Court,Urdu,Corporate,A relative has illegally occupied our ancestral agricultural land in Faisalabad. Can we file a suit for possession and permanent injunction?,5.0,Property
PK-LHR-2026-0431,2022-06-03,High Court,English,Individual,My relative has been arrested by police under Section 302 of PPC. How can we apply for post-arrest bail in the High Court?,6.05,Criminal
PK-LHR-2022-0598,2024-03-06,District Court,Urdu,Corporate,What are the legal rights of a woman regarding dower (Mehr) and dowry articles (Saman-e-Harb) after divorce?,,Family
PK-ISB-2024-1055,2022-10-27,High Court,English,Individual,Someone stole my motorcycle from the parking area. What is the procedure to report this theft and get a police report for insurance?,7.69,Criminal
PK-MUX-2025-1128,2024-09-04,District Court,Urdu,Corporate,My relative has been arrested by police under Section 302 of PPC. How can we apply for post-arrest bail in the High Court?,8.42,Criminal
PK-RWP-2022-0864,2022-05-11,District Court,English,Individual,A false fraud case has been registered against me regarding a bounced cheque. How do I get pre-arrest bail?,7.76,Criminal
PK-MUX-2025-0396,2025-03-17,District Court,English,Individual,My relative has been arrested by police under Section 302 of PPC. How can we apply for post-arrest bail in the High Court?,6.44,Criminal
PK-KHI-2025-0229,2025-08-30,High Court,Urdu,Individual,An online store delivered a damaged mobile phone and is refusing a refund or replacement. How do I send them a legal notice?,4.82,Consumer
PK-RWP-2026-0134,2025-01-28,High Court,English,Individual,We were assaulted and harassed by some local goons. The police are refusing to register our complaint. Can we file a petition under 22-A/22-B?,7.4,Criminal
PK-ISB-2024-0204,2024-09-16,District Court,Urdu,Individual,There is a dispute over the boundaries of our house with our neighbor. How can we request a legl land demarcation?,5.35,Property
PK-FSD-2023-0918,2025-02-04,District Court,Urdu,Individual,My husband has married a second time without my permission or consent from the Arbitration Council. Is this illegal?,5.46,Family
PK-FSD-2022-0245,2023-08-11,District Court,Urdu,Individual,Someone stole my motorcycle from the parking area. What is the procedure to report this theft and get a police report for insurance?,8.1,Criminal
PK-MUX-2022-0476,2024-12-31,District Court,Urdu,Individual,A false fraud case has been registered against me regarding a bounced cheque. How do I get pre-arrest bail?,9.19,Criminal
